date,AAL,ALK,ALLE,AME,AOS
2017-11-03,47.45,63.362424698795,82.02,67.574402586449,59.54
2017-11-06,47.51,63.651114457831,83.09,68.463276637616,59.67
2017-11-07,46.46,61.918975903614,83.53,68.473263986505,59.5
2017-11-09,45.77,62.098162650602,82.08,67.923959797582,58.67
2017-11-10,45.82,62.137981927711,83.13,68.143681473152,58.56
2017-11-13,45.74,61.441144578313,83.94,68.802846499859,58.92
2017-11-14,45.81,61.401325301205,82.9,69.40208743323,58.82
2017-11-15,47.19,64.148855421687,82.03,68.732935057633,58.41
2017-11-16,47.68,65.572394578313,82.41,70.03129041327,59.03
2017-11-17,47.39,66.1,82.65,70.171113297723,58.89
2017-11-20,47.69,66.1,83.24,70.570607253303,59.49
2017-11-21,48.65,66.19,83.4,70.260999437728,60.77
2017-11-22,48.66,65.58,83.16,70.151138599944,60.86
2017-11-24,48.56,65.4,82.92,70.151138599944,60.58
2017-11-27,48.42,65.36,83.1,70.510683159966,61.37
2017-11-28,49.22,67.29,83.33,71.908912004498,62.26
2017-11-29,49.25,69.11,82.94,71.589316840034,62.5
2017-11-30,50.49,69.17,84.14,72.598039077875,63.42
2017-12-01,49.01,66.91,84.58,71.998798144504,62.81
2017-12-04,49.93,68.28,83.43,71.699177677818,62.2
2017-12-05,49.47,68.1,82.0,71.05,61.58
2017-12-06,49.61,67.83,81.79,71.04,61.4
2017-12-07,50.88,69.37,83.11,71.4,61.59
2017-12-08,51.02,69.74,82.46,71.74,62.22
2017-12-11,51.3,69.72,82.17,71.91,61.36
2017-12-12,50.47,69.8,82.15,72.13,61.06
2017-12-13,50.09,69.02,82.64,71.71,60.97
2017-12-14,50.21,69.39,81.68,70.96,60.04
2017-12-15,51.06,70.83,82.28,71.22,60.73
2017-12-18,51.49,73.56,82.56,71.5,61.28
2017-12-19,51.44,73.19,80.07,72.06,61.29
2017-12-20,51.92,73.77,81.0,72.48,61.48
2017-12-21,52.79,74.69,81.0,72.62,61.71
2017-12-22,52.59,74.28,80.34,72.6,61.26
2017-12-26,52.85,74.84,80.39,72.54,61.66
2017-12-27,52.4,74.37,80.0,72.67,61.88
2017-12-28,52.46,74.57,79.56,72.87,61.61
2017-12-29,52.03,73.51,79.56,72.47,61.28
2018-01-02,52.99,75.01,79.91,72.75,61.53
2018-01-03,52.33,74.66,80.25,73.39,61.9
2018-01-04,52.67,73.85,81.37,73.98,62.19
2018-01-05,52.65,73.74,81.57,73.79,62.99
2018-01-08,52.13,72.75,81.24,74.28,63.29
2018-01-09,52.08,71.29,82.93,74.0,63.24
2018-01-10,53.78,72.05,82.6,73.72,63.41
2018-01-11,56.42,74.81,84.38,74.57,64.75
2018-01-12,58.47,73.52,85.04,75.2,65.32
2018-01-16,57.985,71.28,84.07,74.91,65.07
2018-01-17,58.16,70.82,84.21,76.03,65.59
2018-01-18,58.34,69.79,84.05,76.07,65.91
2018-01-19,58.06,68.88,86.23,76.98,67.04
2018-01-22,58.1,68.55,85.8,76.5,67.0
2018-01-23,58.29,69.47,85.35,77.0,66.8
2018-01-24,54.79,64.69,85.58,76.9,66.8
2018-01-25,53.05,62.07,85.35,76.98,67.4
2018-01-26,53.07,64.54,86.37,78.08,67.84
2018-01-29,52.68,65.48,86.68,77.49,66.82
2018-01-30,52.59,64.2,85.44,76.55,66.42
2018-01-31,54.32,65.73,86.11,76.3,66.78
2018-02-01,53.88,64.08,85.17,77.91,66.79
